Country,Latitude,Longitude,Province,Median age at marriage
Canada,53.01669802,-112.8166386,Alberta,24
Canada,49.09996035,-116.516697,British Columbia,25
Canada,50.15002545,-96.88332178,Manitoba,24
Canada,45.26704185,-66.07667505,New Brunswick,23
Canada,49.17440025,-57.42691878,Newfoundland and Labrador,23
Canada,62.40005292,-110.7333291,Northwest Territories,27
Canada,45.58327578,-62.63331934,Nova Scotia,23
Canada,68.76746684,-81.23608303,Nunavut,27
Canada,44.56664532,-80.84998519,Ontario,24
Canada,46.24928164,-63.13132512,Prince Edward Island,23
Canada,49.82257774,-64.34799504,Quebec,24
Canada,50.93331097,-102.7999891,Saskatchewan,23
Canada,61.35037539,-139.0000017,Yukon,25